osm_way_id,name,highway_class,footway_tag,width_m,surface,district,length_m
78793944,,footway,,,,North-West,57
78793957,,footway,,,,North-West,236
80429781,,footway,,,paving_stones,North,116
80429783,,pedestrian,,,asphalt,North,520
80429784,,footway,,,paving_stones,North,22
80429792,Footover Bridge,footway,sidewalk,,,North-East,88
80429799,,footway,,,paving_stones,North,61
80429801,,footway,,,paving_stones,North,15
80429802,,footway,,,,North,51
80429805,,footway,,,,North,427
80429813,,footway,,,paving_stones,North,174
80429819,,footway,,,paving_stones,North,178
80429822,,footway,,,paving_stones,North,85
80429823,,footway,,,,North,104
80429828,,footway,,,paving_stones,North,112
80429832,,pedestrian,,,,North,66
80429834,,footway,,,,North,153
80429839,,footway,,,paving_stones,North,58
80429841,,footway,,,paving_stones,North,467
80429842,,footway,,,,North,123
80429860,,footway,,,paving_stones,North,18
80429863,,footway,,,paving_stones,North,123
80429864,,pedestrian,,,paving_stones,North,15
80429865,,footway,,,,North,565
80429882,,footway,,,paving_stones,North,15
80429888,,footway,,,,North,102
80429897,,pedestrian,,,,North,104
80429908,,footway,,,,North,252
80429911,,pedestrian,,,paving_stones,North,50
80429913,,footway,,,,North,265
80429914,,footway,,,paving_stones,North,209
80432278,,footway,,,,North,64
80932739,,footway,,,,Central,14
80932781,,footway,,,,North,145
80932790,,footway,,,,North,65
102560237,,footway,,,,North,117
120396371,,footway,,,,North,367
120396376,,footway,,,,North,59
120396377,,footway,,,,North,52
129788536,,footway,,,,North,35
129788537,,footway,,,,North,281
153965528,,footway,,,,West,133
171551571,Road Number 1,footway,,,asphalt,North-West,573
171551633,,pedestrian,,,asphalt,North-West,198
176492754,,footway,,,,North,5
211849221,,pedestrian,,,,North-West,102
211849223,,pedestrian,,,,North-West,223
220935127,,footway,,,,North,26
223903628,,footway,,,paving_stones,North,205
223903630,,footway,,,paving_stones,North,10
251388969,,footway,,,,North,5
253307754,,footway,,,paving_stones,North,108
253307762,,footway,,,paving_stones,North,98
253307764,,footway,,,paving_stones,North,26
256583534,,footway,,,,North-West,33
256583535,,footway,,,,North-West,91
263838859,,footway,,,paving_stones,North,50
263838864,,footway,,,paving_stones,North,111
263838865,,footway,,,paving_stones,North,114
263838867,,footway,,,paving_stones,North,81
263838869,,footway,,,paving_stones,North,53
264599029,,footway,,,,North,261
264599030,,footway,,,,North,27
264599031,,footway,,,,North,27
264599032,,footway,,,,North,27
264599033,,footway,,,,North,27
264599036,,footway,,,,North,95
264770687,,pedestrian,,,paving_stones,North,17
264770688,,pedestrian,,,asphalt,North,8
