rank,name,road,simple,fatal,total,lat,lng,x,y,district,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
62,Metro Station Paschim Vihar,Rohtak Road,5,3,8,28.679,77.106,520.2,386.9,Outer,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,62,Metro Station Paschim Vihar,3,5,8,28.679,77.106,mapped/project geocode,
63,ITI Dheerpur,Outer Ring Road,5,3,8,28.716,77.197,663.6,320.4,North-West,2023,true,false,,,,false,,,,false,,,,true,0,3,3,false,,,,false,,,,,,63,ITI Dheerpur,3,5,8,28.716,77.197,mapped/project geocode,
64,Nigam Bodh Ghat,Ring Road,4,3,7,28.665,77.234,721.9,412,North,2023,false,true,0,3,3,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,64,Nigam Bodh Ghat,3,4,7,28.665,77.234,mapped/project geocode,
65,Metro Station Inderlok,VIR Banda Bairagi Marg,4,3,7,28.673,77.17,621,397.7,North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,65,Metro Station Inderlok,3,4,7,28.673,77.17,mapped/project geocode,
66,Keshopur T Point,Outer Ring Road,4,3,7,28.643,77.082,482.3,451.5,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,66,Keshopur T Point,3,4,7,28.643,77.082,mapped/project geocode,
67,Mundka,Rohtak Road,4,3,7,28.683,77.026,394.1,379.7,Outer,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,67,Mundka,3,4,7,28.683,77.026,mapped/project geocode,
68,Metro Station Ramesh Nagar,Najafgarh Road,4,3,7,28.652,77.131,559.6,435.4,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,68,Metro Station Ramesh Nagar,3,4,7,28.652,77.131,mapped/project geocode,
69,RTR Flyover Vasant Vihar,Outer Ring Road,4,3,7,28.558,77.16,605.3,604.2,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,69,RTR Flyover Vasant Vihar,3,4,7,28.558,77.16,mapped/project geocode,
70,DSIIDC Red Light NH-1,GTK Road,4,3,7,28.751,77.151,591.1,257.6,Outer North,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,DSIIDC Red Light NH-1,3,4,7,28.751,77.151,mapped/project geocode,
71,Adarsh Nagar,GTK Road,4,3,7,28.716,77.172,624.2,320.4,North-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,71,Adarsh Nagar,3,4,7,28.716,77.172,mapped/project geocode,
72,ARSD College,Ring Road,3,3,6,28.582,77.163,610,561.1,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,72,ARSD College,3,3,6,28.582,77.163,mapped/project geocode,
73,Sarai Kale Khan,Ring Road,3,3,6,28.587,77.261,764.5,552.1,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,73,Sarai Kale Khan,3,3,6,28.587,77.261,mapped/project geocode,
74,Round About Okhla Estate,Anand Mai Marg,3,3,6,28.536,77.275,786.5,643.7,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,74,Round About Okhla Estate,3,3,6,28.536,77.275,mapped/project geocode,
75,Anand Vihar Railway Flyover,Road No. 56,3,3,6,28.648,77.315,849.6,442.5,East,2023,false,true,0,3,3,false,,,,false,,,,false,,,,false,,,,false,,,,,,75,Anand Vihar Railway Flyover,3,3,6,28.648,77.315,mapped/project geocode,
76,Vijay Vihar Rohini,Rithala Road,3,3,6,28.729,77.098,507.6,297.1,Outer North,2023,false,false,,,,false,,,,false,,,,false,,,,true,0,3,3,false,,,,,,76,Vijay Vihar Rohini,3,3,6,28.729,77.098,mapped/project geocode,
77,Delhi Cantt Flyover,Jail Road,2,3,5,28.599,77.115,534.4,530.5,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,77,Delhi Cantt Flyover,3,2,5,28.599,77.115,mapped/project geocode,
78,Shakarpur Red Light,Yamuna Pusta Road,2,3,5,28.628,77.279,792.8,478.5,East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,78,Shakarpur Red Light,3,2,5,28.628,77.279,mapped/project geocode,
79,Geeta Colony Flyover,Yamuna Pusta Road,2,3,5,28.645,77.26,762.9,447.9,Central,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,79,Geeta Colony Flyover,3,2,5,28.645,77.26,mapped/project geocode,
80,Loha Mandi,Girdhari Lal Marg,1,3,4,28.636,77.135,565.9,464.1,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,80,Loha Mandi,3,1,4,28.636,77.135,mapped/project geocode,
81,Siraspur,GTK Road,1,3,4,28.75,77.142,576.9,259.4,Outer North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,0,3,3,,,81,Siraspur,3,1,4,28.75,77.142,mapped/project geocode,
82,Janak Puri East,Najafgarh Road,1,3,4,28.627,77.086,488.7,480.3,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,82,Janak Puri East,3,1,4,28.627,77.086,mapped/project geocode,
83,Mayur Vihar Extension,Noida Link Road,1,3,4,28.594,77.294,816.5,539.5,East,2023,false,false,,,,false,,,,false,,,,false,,,,true,1,3,4,false,,,,,,83,Mayur Vihar Extension,3,1,4,28.594,77.294,mapped/project geocode,
84,Pul Mithai,SPM Marg,1,3,4,28.66,77.215,692,421,North,2023,true,true,1,3,4,false,,,,false,,,,true,0,3,3,false,,,,false,,,,,,84,Pul Mithai,3,1,4,28.66,77.215,mapped/project geocode,
