source_id,agency,corporation,vend_name,address,licence_number,licence_type,status,valid_from,valid_to,snapshot_date,temporal_status,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_is_approximate,geocode_review_status,source_file,source_page
dscsc_vends,Delhi State Civil Supplies Corporation,,LAWRANCE ROAD,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,KHICHRI PUR,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,G. B. ROAD,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"RAJ NAGAR-1, PALAM",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,EAST OF KAILASH 37,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,SINDHORA KALAN,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,YUSUF SARAI MARKET,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,SOUTH EXTN PART-1,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,NARSINGH GARDEN,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"SOUTH GAMRI, BHAJAN PURA",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,ASHOK NAGAR D517,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,NATHU COLONY 48,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,CHANDER LOK 711,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"MOHAN SINGH MARKET, INA 21",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"JANAKPURI, B BLOCK",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,MANGOLPURI X1 X2,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,MIRAJ CINEMA19,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,CHAUKHANDI ROAD,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,BALI NAGAR,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"KARTAR NAGAR, SHAHDARA",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"LONI ROAD, SHAHDARA",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
